YEAR,MONTH,HOUR,WEEKDAY,LATITUDE,LONGITUDE,VISIBILITY,LIGHT,ACCLASS,INJURY,PEDESTRIAN,CYCLIST
2015,7,23,4,43.75361212,-79.58708582,Clear,Dark,Non-Fatal Injury,None,0,0
2015,7,23,4,43.75361212,-79.58708582,Clear,Dark,Non-Fatal Injury,Major,0,0
2016,8,23,1,43.61230047,-79.56263361,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,1
2016,8,23,1,43.61230047,-79.56263361,Clear,"Dark, artificial",Non-Fatal Injury,None,0,1
2017,8,23,3,43.74876364,-79.31207667,Clear,"Dark, artificial",Fatal,None,1,0
2017,8,23,3,43.74876364,-79.31207667,Clear,"Dark, artificial",Fatal,Fatal,1,0
2017,9,23,4,43.70812567,-79.39863215,Rain,Dark,Non-Fatal Injury,None,1,0
2017,9,23,4,43.70812567,-79.39863215,Rain,Dark,Non-Fatal Injury,Major,1,0
2010,5,23,0,43.63244538,-79.41079029,Clear,Dark,Non-Fatal Injury,Major,0,0
2010,5,23,0,43.63244538,-79.41079029,Clear,Dark,Non-Fatal Injury, ,0,0
2010,5,23,0,43.63244538,-79.41079029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,10,23,4,43.63634451,-79.46689234,Clear,Dark,Fatal,Fatal,0,0
2008,10,23,4,43.63634451,-79.46689234,Clear,Dark,Fatal,None,0,0
2008,10,23,4,43.63634451,-79.46689234,Clear,Dark,Fatal, ,0,0
2008,10,23,4,43.63634451,-79.46689234,Clear,Dark,Fatal,None,0,0
2008,10,23,4,43.63634451,-79.46689234,Clear,Dark,Fatal,None,0,0
2008,10,23,4,43.63634451,-79.46689234,Clear,Dark,Fatal,None,0,0
2010,10,23,3,43.67524538,-79.38049029,Clear,Dark,Non-Fatal Injury,None,1,0
2010,10,23,3,43.67524538,-79.38049029,Clear,Dark,Non-Fatal Injury,Major,1,0
2011,9,23,2,43.68334538,-79.32359029,Rain,Dark,Non-Fatal Injury, ,1,0
2011,9,23,2,43.68334538,-79.32359029,Rain,Dark,Non-Fatal Injury,None,1,0
2011,9,23,2,43.68334538,-79.32359029,Rain,Dark,Non-Fatal Injury,Major,1,0
2008,7,23,1,43.65474538,-79.40699029,Rain,Dark,Non-Fatal Injury,None,1,0
2008,7,23,1,43.65474538,-79.40699029,Rain,Dark,Non-Fatal Injury,Major,1,0
2008,10,23,5,43.69674538,-79.50589029,Clear,Dark,Fatal,None,1,0
2008,10,23,5,43.69674538,-79.50589029,Clear,Dark,Fatal, ,1,0
2008,10,23,5,43.69674538,-79.50589029,Clear,Dark,Fatal,Fatal,1,0
2013,8,23,0,43.67159994,-79.3249322,Clear,Dark,Non-Fatal Injury,None,1,0
2013,8,23,0,43.67159994,-79.3249322,Clear,Dark,Non-Fatal Injury,Major,1,0
2007,8,23,4,43.83104538,-79.27519029,Clear,Dark,Non-Fatal Injury,None,1,0
2007,8,23,4,43.83104538,-79.27519029,Clear,Dark,Non-Fatal Injury,Major,1,0
2008,7,23,1,43.66514538,-79.41119029,Rain,Dark,Non-Fatal Injury,None,1,0
2008,7,23,1,43.66514538,-79.41119029,Rain,Dark,Non-Fatal Injury,Major,1,0
2014,5,23,0,43.79279288,-79.20698939,Rain,Dark,Non-Fatal Injury, ,1,0
2014,5,23,0,43.79279288,-79.20698939,Rain,Dark,Non-Fatal Injury,Major,1,0
2015,7,23,2,43.71699866,-79.53727351,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2015,7,23,2,43.71699866,-79.53727351,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2015,7,23,2,43.71699866,-79.53727351,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2015,7,23,2,43.71699866,-79.53727351,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2017,6,23,5,43.67528113,-79.45473109,Clear,"Dark, artificial",Non-Fatal Injury,None,0,1
2017,6,23,5,43.67528113,-79.45473109,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,1
2017,9,23,0,43.77004965,-79.52064143,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,9,23,0,43.77004965,-79.52064143,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2017,12,23,4,43.7518688,-79.28660212,Clear,Dark,Fatal,None,1,0
2017,12,23,4,43.7518688,-79.28660212,Clear,Dark,Fatal,Fatal,1,0
2008,9,23,3,43.66384538,-79.38419029,Clear,Daylight,Non-Fatal Injury, ,1,0
2008,9,23,3,43.66384538,-79.38419029,Clear,Daylight,Non-Fatal Injury,None,1,0
2008,9,23,3,43.66384538,-79.38419029,Clear,Daylight,Non-Fatal Injury,Major,1,0
2014,2,23,5,43.65271338,-79.36324702,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2014,2,23,5,43.65271338,-79.36324702,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2007,7,23,3,43.67894538,-79.34479029,Clear,Dark,Non-Fatal Injury,None,0,1
2007,7,23,3,43.67894538,-79.34479029,Clear,Dark,Non-Fatal Injury,Major,0,1
2014,10,23,6,43.64555701,-79.36981592,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2014,10,23,6,43.64555701,-79.36981592,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2014,10,23,6,43.64555701,-79.36981592,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2014,10,23,6,43.64555701,-79.36981592,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2015,10,23,5,43.68651541,-79.31314478,Rain,"Dark, artificial",Non-Fatal Injury,Minimal,0,0
2015,10,23,5,43.68651541,-79.31314478,Rain,"Dark, artificial",Non-Fatal Injury,Major,0,0
2009,4,23,2,43.68394538,-79.51149029,Clear,Dark,Non-Fatal Injury,None,0,0
2009,4,23,2,43.68394538,-79.51149029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,2,23,1,43.68624538,-79.49239029,Freezing Rain,Dark,Non-Fatal Injury, ,0,0
2008,2,23,1,43.68624538,-79.49239029,Freezing Rain,Dark,Non-Fatal Injury,Major,0,0
2008,2,23,1,43.68624538,-79.49239029,Freezing Rain,Dark,Non-Fatal Injury,Minimal,0,0
2009,3,23,4,43.70474538,-79.50429029,Clear,Dark,Non-Fatal Injury,None,1,0
2009,3,23,4,43.70474538,-79.50429029,Clear,Dark,Non-Fatal Injury,Major,1,0
2015,12,23,2,43.68234213,-79.32826624,Clear,"Dark, artificial",Fatal,None,1,0
2010,9,22,6,43.71134538,-79.59279029,Clear,Dark,Fatal,Minor,0,0
2017,8,23,4,43.74877538,-79.55772029,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2009,4,22,5,43.73114538,-79.60169029,Clear,Dark,Non-Fatal Injury,Major,0,0
2013,6,23,3,43.65184363,-79.39758692,Rain,"Dark, artificial",Fatal, ,1,0
2010,10,22,5,43.69424538,-79.55859029,Rain,Dark,Non-Fatal Injury, ,1,0
2010,9,22,6,43.71134538,-79.59279029,Clear,Dark,Fatal,Major,0,0
2013,6,23,3,43.65184363,-79.39758692,Rain,"Dark, artificial",Fatal,None,1,0
2016,7,23,4,43.7527767,-79.19073878,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2010,9,22,6,43.71134538,-79.59279029,Clear,Dark,Fatal,Fatal,0,0
2010,9,22,6,43.71134538,-79.59279029,Clear,Dark,Fatal, ,0,0
2010,9,22,6,43.71134538,-79.59279029,Clear,Dark,Fatal,Minimal,0,0
2012,7,22,3,43.65754538,-79.56829029,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2016,3,22,5,43.70672186,-79.39835749,Clear,"Dark, artificial",Non-Fatal Injury,Minimal,1,0
2016,3,22,5,43.70672186,-79.39835749,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2016,3,22,5,43.70672186,-79.39835749,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2016,3,22,5,43.70672186,-79.39835749,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2016,3,22,5,43.70672186,-79.39835749,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2008,6,22,3,43.67664538,-79.50229029,Clear,Dark,Non-Fatal Injury,Major,0,0
2016,12,22,6,43.68396338,-79.3616067,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2016,12,22,6,43.68396338,-79.3616067,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2011,2,22,3,43.65504538,-79.51479029,Clear,Dark,Non-Fatal Injury,Major,0,0
2011,2,22,3,43.65504538,-79.51479029,Clear,Dark,Non-Fatal Injury, ,0,0
2011,2,22,3,43.65504538,-79.51479029,Clear,Dark,Non-Fatal Injury,Major,0,0
2007,4,22,4,43.79934538,-79.33759029,Clear,Dark,Non-Fatal Injury, ,1,0
2007,4,22,4,43.79934538,-79.33759029,Clear,Dark,Non-Fatal Injury, ,1,0
2007,4,22,4,43.79934538,-79.33759029,Clear,Dark,Non-Fatal Injury,Major,1,0
2007,4,22,4,43.79934538,-79.33759029,Clear,Dark,Non-Fatal Injury,Minor,1,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,None,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,None,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,Major,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,None,0,0
2007,7,22,6,43.65474538,-79.38829029,Clear,Dark,Non-Fatal Injury,None,0,0
2008,5,22,4,43.79324538,-79.42169029,Clear,Dark,Non-Fatal Injury, ,1,0
2008,5,22,4,43.79324538,-79.42169029,Clear,Dark,Non-Fatal Injury,None,1,0
2008,5,22,4,43.79324538,-79.42169029,Clear,Dark,Non-Fatal Injury,Major,1,0
2008,8,22,6,43.78934538,-79.36789029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,8,22,6,43.78934538,-79.36789029,Clear,Dark,Non-Fatal Injury, ,0,0
2010,5,22,1,43.66674538,-79.44649029,Rain,Dark,Non-Fatal Injury,None,1,0
2010,5,22,1,43.66674538,-79.44649029,Rain,Dark,Non-Fatal Injury,Major,1,0
2011,11,22,2,43.76004538,-79.46499029,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2011,11,22,2,43.76004538,-79.46499029,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2012,11,22,4,43.67065008,-79.38483057,Clear,Dark,Non-Fatal Injury, ,0,0
2012,11,22,4,43.67065008,-79.38483057,Clear,Dark,Non-Fatal Injury,Major,0,0
2012,11,22,4,43.67065008,-79.38483057,Clear,Dark,Non-Fatal Injury,Major,0,0
2012,11,22,4,43.67065008,-79.38483057,Clear,Dark,Non-Fatal Injury, ,0,0
2012,11,22,4,43.67065008,-79.38483057,Clear,Dark,Non-Fatal Injury,Major,0,0
2013,5,22,5,43.69744538,-79.44219029,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2013,5,22,5,43.69744538,-79.44219029,Clear,"Dark, artificial",Non-Fatal Injury, ,1,0
2013,5,22,5,43.69744538,-79.44219029,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2013,5,22,5,43.69744538,-79.44219029,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2013,7,22,4,43.68860205,-79.44736109,Clear,"Dark, artificial",Non-Fatal Injury,Minimal,0,1
2013,7,22,4,43.68860205,-79.44736109,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,1
2013,11,22,4,43.64418753,-79.37833033,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2013,11,22,4,43.64418753,-79.37833033,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2014,7,22,4,43.6608692,-79.37352381,Clear,Dark,Non-Fatal Injury,Major,0,1
2014,7,22,4,43.6608692,-79.37352381,Clear,Dark,Non-Fatal Injury,None,0,1
2014,7,22,4,43.6608692,-79.37352381,Clear,Dark,Non-Fatal Injury,None,0,1
2014,8,22,5,43.66856726,-79.48337183,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2014,8,22,5,43.66856726,-79.48337183,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2014,8,22,5,43.66856726,-79.48337183,Clear,"Dark, artificial",Non-Fatal Injury,Minimal,1,0
2014,8,22,5,43.66856726,-79.48337183,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2016,2,22,6,43.74142798,-79.31420527,Rain,"Dark, artificial",Non-Fatal Injury,None,0,0
2016,2,22,6,43.74142798,-79.31420527,Rain,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2016,2,22,6,43.74142798,-79.31420527,Rain,"Dark, artificial",Non-Fatal Injury,Major,0,0
2016,7,22,6,43.62285956,-79.48119746,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2016,7,22,6,43.62285956,-79.48119746,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2017,7,22,5,43.65007742,-79.56899653,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,7,22,5,43.65007742,-79.56899653,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,7,22,5,43.65007742,-79.56899653,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,7,22,5,43.65007742,-79.56899653,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,7,22,5,43.65007742,-79.56899653,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2017,7,22,5,43.65007742,-79.56899653,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2009,8,22,1,43.80834538,-79.17079029,Clear,Dark,Non-Fatal Injury,Major,0,0
2009,8,22,1,43.80834538,-79.17079029,Clear,Dark,Non-Fatal Injury,None,0,0
2009,8,22,1,43.80834538,-79.17079029,Clear,Dark,Non-Fatal Injury,None,0,0
2009,8,22,1,43.80834538,-79.17079029,Clear,Dark,Non-Fatal Injury, ,0,0
2010,10,22,4,43.65774538,-79.37299029,Clear,Dark,Non-Fatal Injury,Major,0,0
2014,5,22,3,43.73149832,-79.53744898,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2014,5,22,3,43.73149832,-79.53744898,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2014,5,22,3,43.73149832,-79.53744898,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2014,5,22,3,43.73149832,-79.53744898,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2014,5,22,3,43.73149832,-79.53744898,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2014,5,22,3,43.73149832,-79.53744898,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2007,1,22,2,43.71364538,-79.55499029,Clear,Daylight,Non-Fatal Injury,Major,0,0
2007,1,22,2,43.71364538,-79.55499029,Clear,Daylight,Non-Fatal Injury,Minimal,0,0
2007,1,22,2,43.71364538,-79.55499029,Clear,Daylight,Non-Fatal Injury,Minimal,0,0
2008,7,22,3,43.64824538,-79.37089029,Clear,Dark,Non-Fatal Injury, ,0,1
2008,7,22,3,43.64824538,-79.37089029,Clear,Dark,Non-Fatal Injury,None,0,1
2008,7,22,3,43.64824538,-79.37089029,Clear,Dark,Non-Fatal Injury,Major,0,1
2010,10,22,5,43.68035086,-79.27967463,Clear,Dark,Non-Fatal Injury,None,0,1
2010,10,22,5,43.68035086,-79.27967463,Clear,Dark,Non-Fatal Injury,Major,0,1
2014,2,22,5,43.65939291,-79.54302607,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2014,2,22,5,43.65939291,-79.54302607,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2014,11,22,4,43.67510184,-79.39102564,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2014,11,22,4,43.67510184,-79.39102564,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2014,11,22,4,43.67510184,-79.39102564,Clear,"Dark, artificial",Non-Fatal Injury,Minimal,1,0
2017,8,22,3,43.81567338,-79.26612529,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2017,8,22,3,43.81567338,-79.26612529,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2017,5,22,5,43.69603689,-79.42353449,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2017,5,22,5,43.69603689,-79.42353449,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2016,7,22,3,43.65699347,-79.37453089,Clear,"Dusk, artificial",Non-Fatal Injury,None,1,0
2016,7,22,3,43.65699347,-79.37453089,Clear,"Dusk, artificial",Non-Fatal Injury,Major,1,0
2013,7,22,4,43.75554617,-79.24538813,Clear,"Dark, artificial",Fatal,None,1,0
2013,7,22,4,43.75554617,-79.24538813,Clear,"Dark, artificial",Fatal,Fatal,1,0
2016,7,22,5,43.62897833,-79.49032221,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2016,7,22,5,43.62897833,-79.49032221,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2007,6,22,3,43.76184538,-79.41099029,Clear,Daylight,Non-Fatal Injury,None,1,0
2007,6,22,3,43.76184538,-79.41099029,Clear,Daylight,Non-Fatal Injury,Major,1,0
2008,2,22,0,43.60444538,-79.51949029,Clear,Dark,Non-Fatal Injury,Minor,0,0
2008,2,22,0,43.60444538,-79.51949029,Clear,Dark,Non-Fatal Injury,None,0,0
2008,2,22,0,43.60444538,-79.51949029,Clear,Dark,Non-Fatal Injury,None,0,0
2008,2,22,0,43.60444538,-79.51949029,Clear,Dark,Non-Fatal Injury,Major,0,0
2008,2,22,0,43.60444538,-79.51949029,Clear,Dark,Non-Fatal Injury,Major,0,0
2009,4,22,5,43.73114538,-79.60169029,Clear,Dark,Non-Fatal Injury,Minor,0,0
2013,6,23,3,43.65184363,-79.39758692,Rain,"Dark, artificial",Fatal,Fatal,1,0
2014,8,23,6,43.70224722,-79.29692469,Clear,"Dark, artificial",Fatal,None,1,0
2016,7,23,4,43.7527767,-79.19073878,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2014,8,23,6,43.70224722,-79.29692469,Clear,"Dark, artificial",Fatal,None,1,0
2014,7,23,4,43.75666388,-79.51756678,Clear,Daylight,Non-Fatal Injury,None,0,1
2010,10,22,5,43.69424538,-79.55859029,Rain,Dark,Non-Fatal Injury,None,1,0
2014,8,23,6,43.70224722,-79.29692469,Clear,"Dark, artificial",Fatal,Fatal,1,0
2014,7,23,4,43.75666388,-79.51756678,Clear,Daylight,Non-Fatal Injury,Major,0,1
2010,10,22,5,43.69424538,-79.55859029,Rain,Dark,Non-Fatal Injury,Major,1,0
2008,2,23,5,43.80444538,-79.27619029,Snow,Dark,Non-Fatal Injury,Major,0,0
2008,2,23,5,43.80444538,-79.27619029,Snow,Dark,Non-Fatal Injury, ,0,0
2015,10,23,6,43.76397665,-79.20559321,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2015,10,22,2,43.75803717,-79.6025506,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2008,2,23,5,43.80444538,-79.27619029,Snow,Dark,Non-Fatal Injury,Minor,0,0
2015,10,23,6,43.76397665,-79.20559321,Clear,Dark,Non-Fatal Injury,None,0,0
2015,10,22,2,43.75803717,-79.6025506,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2008,2,23,5,43.80444538,-79.27619029,Snow,Dark,Non-Fatal Injury, ,0,0
2015,10,23,6,43.76397665,-79.20559321,Clear,Dark,Non-Fatal Injury,Major,0,0
2015,10,22,2,43.75803717,-79.6025506,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2008,2,23,5,43.80444538,-79.27619029,Snow,Dark,Non-Fatal Injury,None,0,0
2008,8,23,4,43.64404538,-79.37579029,Clear,Dark,Non-Fatal Injury,Minor,1,0
2008,8,23,4,43.64404538,-79.37579029,Clear,Dark,Non-Fatal Injury,Minor,1,0
2008,8,23,4,43.64404538,-79.37579029,Clear,Dark,Non-Fatal Injury, ,1,0
2008,8,23,4,43.64404538,-79.37579029,Clear,Dark,Non-Fatal Injury,None,1,0
2008,8,23,4,43.64404538,-79.37579029,Clear,Dark,Non-Fatal Injury,Major,1,0
2009,5,23,3,43.67654379,-79.32078944,Clear,Dark,Non-Fatal Injury,None,0,1
2009,5,23,3,43.67654379,-79.32078944,Clear,Dark,Non-Fatal Injury,Major,0,1
2015,8,23,2,43.6725231,-79.4676095,Clear,"Dark, artificial",Non-Fatal Injury,Minor,1,0
2015,8,23,2,43.6725231,-79.4676095,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,None,0,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,Minor,0,0
2010,1,23,5,43.66996344,-79.37989435,Clear,"Dark, artificial",Non-Fatal Injury,Major,0,0
2014,6,23,5,43.8111759,-79.36076746,Clear,Dark,Non-Fatal Injury,None,0,0
2014,6,23,5,43.8111759,-79.36076746,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2014,6,23,5,43.8111759,-79.36076746,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2014,6,23,5,43.8111759,-79.36076746,Clear,Dark,Non-Fatal Injury,Major,0,0
2014,6,23,5,43.8111759,-79.36076746,Clear,Dark,Non-Fatal Injury,Minimal,0,0
2014,12,23,5,43.75888785,-79.25711451,Clear,"Dark, artificial",Non-Fatal Injury,Minimal,1,0
2014,12,23,5,43.75888785,-79.25711451,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2014,12,23,5,43.75888785,-79.25711451,Clear,"Dark, artificial",Non-Fatal Injury,None,1,0
2014,12,23,5,43.75888785,-79.25711451,Clear,"Dark, artificial",Non-Fatal Injury,Major,1,0
2015,4,23,2,43.63742789,-79.41212092,Clear,"Dark, artificial",Fatal,Fatal,0,0
2017,10,23,2,43.75554999,-79.3479806,Clear,Dark,Fatal,None,1,0
2017,10,23,2,43.75554999,-79.3479806,Clear,Dark,Fatal,Fatal,1,0
2010,9,23,6,43.63794538,-79.45899029,Clear,Dark,Fatal,None,0,1
